,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,000000007b5207b6,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
0000000006dd41f6,1.0,-0.00809281366097805,0.04009225828036401,-0.0932047799830805,-0.03936717280797656,0.017507648361486813,0.13963799998627208,0.1016400597911725,-0.00532508984294443,0.04134991827758206,0.05905414533632437,0.19470815779178904,0.049365138899589905,-0.027069126917580663,0.09352855203555185,0.07999091405763475,0.03788674411650724,-0.008196393405394128,0.019015610960600282
000000000f4919c9,-0.00809281366097805,1.0,0.3739585071921727,0.19559355916382204,0.48552338461545164,0.7577840399774147,0.09276959002158308,0.20043967991802678,0.9461134525361459,0.8794221019410828,0.6246086935246962,0.44357916881466875,0.8955405502288889,0.9155896078406972,0.19860846780430652,0.4029081455262322,0.6597747743638515,0.8660773016121659,-0.04384222358952749
0000000019fb59c4,0.04009225828036401,0.37395850719217266,1.0,-0.07606360544951019,0.030025134985120175,0.17984206835279584,0.02780581314855833,0.24740190467214732,0.37172398630160436,0.2591048779134365,0.3919130527333608,0.20494361906729214,0.3202157385130272,0.36601446374798446,0.2633395775554071,0.04714282175034864,0.27744391986738165,0.43119307392499107,-0.08910902542563606
00000000342570c2,-0.09320477998308051,0.19559355916382204,-0.07606360544951017,1.0,0.2502924585173612,0.33373443132522695,0.052608963094234594,0.14432325789432207,0.2336230154652008,0.2759297542847811,0.043777438628005455,0.08387862798039754,0.20707196934057248,0.24369315128217353,-0.025301848661111608,0.08304454090703285,0.24620583543852742,0.2565356972109303,0.03363752367284866
0000000038bf9618,-0.03936717280797656,0.48552338461545164,0.03002513498512018,0.2502924585173612,0.9999999999999998,0.6086970041050016,-0.022448355073863172,0.11827480006160944,0.5792508282579026,0.6207624378759269,0.4161001999583187,0.3380251452685176,0.5393644147882848,0.6078000695643452,-0.056370419948234364,0.5241403687264021,0.5220227602755323,0.5394919089832125,-0.08942363302422136
0000000038d83d41,0.017507648361486813,0.7577840399774146,0.17984206835279584,0.33373443132522695,0.6086970041050016,0.9999999999999999,0.01587339197171343,0.2531756343927715,0.8507229378687695,0.9295962704293037,0.46044235489566776,0.5511985427930931,0.8486880423894819,0.8662555355899781,0.0509829911408462,0.47598082727110064,0.726539837702339,0.8219002288297245,0.04281768217426233
0000000053c6c2be,0.13963799998627208,0.09276959002158308,0.02780581314855833,0.0526089630942346,-0.022448355073863172,0.01587339197171343,1.0,-0.09273227494598604,0.11470147043393249,0.104064930510144,0.09594706381720548,0.08299434384695516,0.1374261313272839,0.10830076534282808,0.09056128021873337,0.14228772436653228,0.17795364063760882,0.11129179826711146,0.15312403155848642
00000000675d5200,0.1016400597911725,0.20043967991802678,0.2474019046721473,0.14432325789432207,0.11827480006160943,0.2531756343927716,-0.09273227494598604,1.0,0.21541367653347487,0.2038329021966541,0.2394225124799226,-0.08124956236887904,0.17072970032740128,0.2365250996780542,0.11256482147019979,0.17164199527210955,0.10345882146414122,0.22570132077439753,-0.05566253212405366
000000006b087f40,-0.005325089842944429,0.9461134525361458,0.37172398630160436,0.23362301546520078,0.5792508282579026,0.8507229378687695,0.1147014704339325,0.21541367653347487,1.0,0.9449811397877974,0.6084964161349379,0.5147304804404277,0.935416352199063,0.9731644462972344,0.13968238975054403,0.450438748267481,0.7126428624432231,0.9145833394936937,-0.03162367031660636
000000006b44cce7,0.04134991827758206,0.8794221019410828,0.2591048779134365,0.27592975428478106,0.620762437875927,0.9295962704293036,0.10406493051014398,0.20383290219665412,0.9449811397877975,1.0,0.5531287760590979,0.5251465484620553,0.9257118274864347,0.9475891188418403,0.13998198659868719,0.47635411297797503,0.758274821560044,0.900320348541055,0.027857019869067832
