,index,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
index,1.0,-0.07110257622887511,0.04890628359703799,0.06347768167801317,-0.14974985852329145,-0.020572316960607687,-0.129024981634832,-0.2343805967791438,0.23664133921464683,0.056936916499728964,-0.12538442975574357,0.18319842353371352,0.17228126728502316,-0.012627993527198275,-0.13689086552920762,0.06905782565193229,-0.17261678159003338,0.14296784160501144,-0.12832517034664928,0.01699991859689136,0.1305190787803793,-0.1741352219470019
0000000006dd41f6,-0.07110257622887511,0.9999999999999999,0.07867664947623733,-0.080834721214186,0.22131669210743518,-0.12908917872604977,0.20898935368835359,0.11346320037752827,0.2711309954918116,0.2638267803385913,0.26390235289121305,0.2627813186097903,-0.017965392851259,0.527777319281314,0.2315956578654519,-0.12601302422053118,0.1442568985573357,0.24219732936371738,-0.03829857428986845,-0.052824764072462435,-0.16340437884801667,-0.14450057016437776
000000000f4919c9,0.04890628359703799,0.07867664947623734,1.0,0.2908259862171719,0.3873268428601225,0.07072462438166571,0.2678030619909145,-0.3045804663989943,0.6612647955725139,0.7070817265367988,0.28697384330285575,0.6856846803834741,-0.25456381658365645,0.16020832898687928,0.57480343955995,0.22210975711368447,-0.2925917784288785,-0.04414685117732667,0.050959320067210725,-0.04715395435829805,0.5382791728043366,-0.265772774296728
0000000019fb59c4,0.06347768167801317,-0.08083472121418599,0.29082598621717193,1.0,0.004195468271955147,0.206411753590636,0.15657330429253885,0.1742414676982575,0.24378696378213444,0.1945502207704178,0.2260648125226117,0.27113051415150274,-0.014978142292994438,0.11145018592967847,0.23537194133525766,0.35815161326629125,0.15140526069843604,0.11248136663214746,0.1449408301346296,0.21189009957259694,0.23130531382924452,0.25686322190256206
00000000342570c2,-0.14974985852329145,0.22131669210743518,0.3873268428601225,0.004195468271955147,0.9999999999999999,0.4330499112299909,0.782018242038161,0.3097393185935789,0.09469458125990965,0.5952109526270083,0.7344022896084809,0.10365016335070801,-0.1469794158522952,0.3404879830655336,0.7373849004966471,-0.014876187516569335,0.1661176933796255,0.07124863456153553,0.6312380799332188,0.2931087409655747,0.02583059738983774,0.08945435698995285
0000000038bf9618,-0.020572316960607687,-0.12908917872604975,0.07072462438166571,0.206411753590636,0.4330499112299909,1.0,0.45035513328367166,0.31490627637818486,-0.21590928143373234,0.04920946063393774,0.43405352737120073,-0.19340731411841386,-0.012578800578420694,-0.008451175144111303,0.28696774938763175,0.048159254396019244,0.19547800659384001,0.07012816018023789,0.5775071430902534,0.32780144049387133,-0.10615026254831628,0.3757946510699988
0000000038d83d41,-0.12902498163483198,0.20898935368835356,0.2678030619909145,0.15657330429253885,0.782018242038161,0.4503551332836716,0.9999999999999999,0.4504431035421776,0.061787051274978355,0.4584763008362113,0.915369506242069,0.08173490604290332,-0.07826880891864593,0.3004281431542872,0.6972563663962535,-0.07481299376895104,0.3689641094232031,-0.043394523855287415,0.7036346894782618,0.24401775857814156,-0.16349786191908927,0.3114305927557744
0000000053c6c2be,-0.2343805967791438,0.11346320037752827,-0.3045804663989943,0.1742414676982575,0.30973931859357895,0.31490627637818486,0.45044310354217765,1.0,-0.387624629440268,-0.2902425500913912,0.44512517438612015,-0.36547837379617837,-0.021314487580443083,0.2866197501161926,0.0711949938759433,-0.03554169947688791,0.8871674173316201,0.009916940156285093,0.51566690412822,0.47289988626170776,-0.526780530200516,0.5863868990828088
00000000675d5200,0.2366413392146468,0.2711309954918116,0.6612647955725138,0.24378696378213444,0.09469458125990966,-0.21590928143373236,0.061787051274978355,-0.387624629440268,0.9999999999999999,0.5953487570426861,0.13075046214065167,0.9438588969164673,-0.04930297261073878,0.18402750970155993,0.36915808237577036,0.2899060758122335,-0.28136462273353186,0.012161978298554818,-0.14008377870257904,-0.1004445755370578,0.5158323529115312,-0.2797010327779934
000000006b087f40,0.056936916499728964,0.2638267803385913,0.7070817265367988,0.1945502207704178,0.5952109526270083,0.04920946063393773,0.4584763008362113,-0.2902425500913912,0.5953487570426861,0.9999999999999998,0.5233324497477844,0.5828075251537872,-0.17718683916475322,0.09722623308500114,0.779879131701053,0.08158444474346721,-0.3466238962995646,0.013755735326070233,0.15205061444616721,-0.18486235713177498,0.4460924090193631,-0.36517282674372104
