,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
0000000006dd41f6,1.0,-0.01725330113650372,0.18222900342043713,0.01643732287445623,-0.04788347700443895,0.015754433217088627,7.94860097673452e-05,0.02780441981153826,0.006362039892784066,0.048632744146725936,0.06505525541989048,0.04891099100842391,0.4868346260054534,0.05092464356238321,0.01759448113474378,0.020730957695975643,0.14191043001757733,-0.00936741437696511,0.11796359966319582,0.02201803195777823,-0.035253608857168904
000000000f4919c9,-0.01725330113650372,1.0,0.15360517961047568,0.4558035685747078,0.44881264176805796,0.7570148878141828,0.7048269310106097,0.410129039746453,0.9338514870116594,0.8496985316541134,0.590754161853434,0.250602927115819,0.2801294489124215,0.8615016479557631,0.8638608850292355,0.6633754929256801,0.4247565068332337,0.5128730081157693,0.6736400275889188,0.8485922703838132,0.6468386245125397
0000000019fb59c4,0.18222900342043713,0.15360517961047565,1.0,-0.25268102872589787,-0.1662906212896107,-0.10387457480831751,-0.14826575656094057,-0.07554471828645176,0.04696269031826146,-0.029548728712595757,0.23572240385481794,0.045307672730992885,0.12312854858219573,0.03723706845409265,0.0323739063414418,-0.07110028352676855,0.3837375878379747,-0.23231268751863685,-0.06118808070119596,0.11426446483512975,-0.17784968150029062
00000000342570c2,0.016437322874456227,0.4558035685747078,-0.25268102872589787,1.0,0.40095089696861996,0.6804662136174097,0.5349280128366342,0.23059613399721768,0.48342051857472457,0.5955813759223061,0.2478878844394755,0.31663930186610806,0.4463427420288325,0.4442533044234294,0.5224614515840903,0.5430011761636405,0.13608963867563426,0.6558034152756037,0.528811039999201,0.4306981865155622,0.6194997462273496
0000000038bf9618,-0.04788347700443894,0.448812641768058,-0.1662906212896107,0.40095089696862,1.0,0.5510869744714889,0.6014747225321263,0.4377916001866962,0.5137006881415561,0.5358053487888761,0.17032278842529372,0.21881104699045847,0.1573219595886143,0.4889031271324476,0.5859341255370577,0.5053738512379758,0.03187078367978829,0.5192974053909437,0.44219119506709353,0.5038172807270928,0.6120140006906175
0000000038d83d41,0.015754433217088627,0.7570148878141828,-0.1038745748083175,0.6804662136174096,0.5510869744714889,1.0,0.8351452363305958,0.4594642189786969,0.8383898421823637,0.9602049664895616,0.6013537753001732,0.3282785219375864,0.5116234352852156,0.8260573107307971,0.8907955791187785,0.8435281255112599,0.249037214819951,0.8130932711518672,0.8882553471246247,0.7834310824782094,0.8189150601975634
0000000053c6c2be,7.94860097673452e-05,0.7048269310106097,-0.14826575656094057,0.534928012836634,0.6014747225321263,0.8351452363305958,0.9999999999999998,0.49517605408027554,0.7877932647349929,0.8288189002781554,0.5142112751068613,0.2319022469410854,0.36150964778783695,0.7506552811383942,0.8264312905766134,0.8703305423646496,0.2030363111832917,0.745598466891088,0.7758300804457726,0.6942924192763156,0.8236161925641936
00000000675d5200,0.027804419811538257,0.410129039746453,-0.07554471828645175,0.23059613399721768,0.4377916001866963,0.45946421897869694,0.49517605408027554,1.0,0.5024665668894789,0.4884097248686016,0.3344646177803691,-0.016143185731694848,0.08628112265245427,0.4756167479857573,0.5175354124750892,0.2994025494131389,0.0936098511494821,0.3311495498673368,0.4049322675745113,0.4923212785700859,0.4963231135443088
000000006b087f40,0.006362039892784066,0.9338514870116595,0.04696269031826145,0.48342051857472457,0.5137006881415561,0.8383898421823637,0.7877932647349929,0.5024665668894789,1.0,0.9250362293139356,0.6225186976446826,0.263321906025751,0.3643582062176991,0.9077494157557978,0.9329328464565515,0.7606771628121325,0.4162082633955095,0.5950331448724386,0.7498711842090932,0.8882220296976794,0.7402114763145443
000000006b44cce7,0.048632744146725936,0.8496985316541135,-0.029548728712595763,0.5955813759223061,0.5358053487888761,0.9602049664895616,0.8288189002781554,0.4884097248686016,0.9250362293139356,1.0,0.6423631639242268,0.310876768083971,0.49255104178894993,0.8874606304178428,0.9413446768996186,0.8419241811197289,0.36129271610268315,0.7447311127054381,0.8638370202340263,0.8469004810265257,0.8113191105312603
000000007b5207b6,0.06505525541989048,0.590754161853434,0.23572240385481794,0.2478878844394755,0.17032278842529372,0.6013537753001731,0.5142112751068613,0.33446461778036907,0.6225186976446827,0.6423631639242268,1.0,-0.008374141453598131,0.45922659179718045,0.653590763186854,0.5945148752602858,0.5793288407266385,0.31313102601297893,0.34335584268867375,0.6413502712097157,0.5249647077157823,0.5324633521601254
0000000096918cfa,0.04891099100842391,0.250602927115819,0.045307672730992885,0.3166393018661081,0.21881104699045847,0.32827852193758633,0.23190224694108538,-0.016143185731694848,0.26332190602575106,0.310876768083971,-0.008374141453598131,1.0,0.14263745194017802,0.25707059733125953,0.21116551600875155,0.32142468269328783,0.12345094953992013,0.38756026188299025,0.25435320664808064,0.1945687955213633,0.1880684407516768
00000000a53ed894,0.4868346260054534,0.28012944891242153,0.12312854858219575,0.4463427420288325,0.15732195958861434,0.5116234352852156,0.3615096477878369,0.08628112265245427,0.3643582062176991,0.4925510417889499,0.45922659179718045,0.14263745194017802,0.9999999999999999,0.39483036283678463,0.4140442628169208,0.43992351620157566,0.3774127065967356,0.36610575293785635,0.5169657964617512,0.2854663650405396,0.3963296156627393
